Diff(x=-388, y=64, z=1149, expected=DIRT, found=GRASS)
Diff(x=-371, y=62, z=1349, expected=DIRT, found=GRASS)
Diff(x=-369, y=62, z=1351, expected=DIRT, found=GRASS)
Diff(x=-369, y=62, z=1356, expected=DIRT, found=GRASS)
Diff(x=-443, y=73, z=596, expected=DIRT, found=GRASS)
Diff(x=-439, y=73, z=592, expected=DIRT, found=GRASS)
Diff(x=-438, y=73, z=594, expected=DIRT, found=GRASS)
Diff(x=-887, y=70, z=-977, expected=DIRT, found=GRASS)
Diff(x=-884, y=70, z=-982, expected=DIRT, found=GRASS)
Diff(x=-883, y=70, z=-982, expected=DIRT, found=GRASS)
Diff(x=-882, y=70, z=-981, expected=DIRT, found=GRASS)
Diff(x=-881, y=70, z=-981, expected=DIRT, found=GRASS)
Diff(x=-881, y=70, z=-980, expected=DIRT, found=GRASS)
Diff(x=-881, y=70, z=-979, expected=DIRT, found=GRASS)
Diff(x=-1150, y=62, z=-105, expected=DIRT, found=GRASS)
Diff(x=-1149, y=62, z=-111, expected=DIRT, found=GRASS)
Diff(x=-1149, y=62, z=-110, expected=DIRT, found=GRASS)
Diff(x=-1149, y=62, z=-109, expected=DIRT, found=GRASS)
Diff(x=-1149, y=62, z=-108, expected=DIRT, found=GRASS)
Diff(x=-1148, y=62, z=-112, expected=DIRT, found=GRASS)
Diff(x=-1148, y=62, z=-108, expected=DIRT, found=GRASS)
Diff(x=-1148, y=62, z=-105, expected=DIRT, found=GRASS)
Diff(x=-1147, y=62, z=-112, expected=DIRT, found=GRASS)
Diff(x=-1147, y=62, z=-107, expected=DIRT, found=GRASS)
Diff(x=-1147, y=62, z=-106, expected=DIRT, found=GRASS)
Diff(x=-1147, y=62, z=-101, expected=DIRT, found=GRASS)
Diff(x=-1146, y=62, z=-107, expected=DIRT, found=GRASS)
Diff(x=-1146, y=62, z=-102, expected=DIRT, found=GRASS)
Diff(x=-1145, y=62, z=-108, expected=DIRT, found=GRASS)
Diff(x=87, y=66, z=-64, expected=DIRT, found=GRASS)
Diff(x=1317, y=69, z=-1235, expected=DIRT, found=GRASS)
Diff(x=1317, y=69, z=-1234, expected=DIRT, found=GRASS)
Diff(x=-448, y=73, z=588, expected=DIRT, found=GRASS)
Diff(x=-448, y=73, z=589, expected=DIRT, found=GRASS)
Diff(x=-447, y=73, z=591, expected=DIRT, found=GRASS)
Diff(x=-446, y=73, z=586, expected=DIRT, found=GRASS)
Diff(x=-443, y=73, z=586, expected=DIRT, found=GRASS)
Diff(x=-442, y=73, z=587, expected=DIRT, found=GRASS)
Diff(x=-442, y=73, z=590, expected=DIRT, found=GRASS)
Diff(x=-441, y=73, z=591, expected=DIRT, found=GRASS)
Diff(x=-440, y=73, z=591, expected=DIRT, found=GRASS)
Diff(x=-1538, y=77, z=510, expected=DIRT, found=GRASS)
Diff(x=-1538, y=77, z=511, expected=DIRT, found=GRASS)
Diff(x=-880, y=70, z=-981, expected=DIRT, found=GRASS)
Diff(x=-880, y=70, z=-980, expected=DIRT, found=GRASS)
Diff(x=-880, y=70, z=-979, expected=DIRT, found=GRASS)
Diff(x=-880, y=70, z=-978, expected=DIRT, found=GRASS)
Diff(x=-880, y=70, z=-977, expected=DIRT, found=GRASS)
Diff(x=-1148, y=62, z=-113, expected=DIRT, found=GRASS)
Diff(x=-1147, y=62, z=-113, expected=DIRT, found=GRASS)
Diff(x=-889, y=70, z=-973, expected=DIRT, found=GRASS)
Diff(x=-886, y=70, z=-971, expected=DIRT, found=GRASS)
Diff(x=-885, y=70, z=-971, expected=DIRT, found=GRASS)
Diff(x=914, y=62, z=-523, expected=DIRT, found=GRASS)
Diff(x=-880, y=70, z=-976, expected=DIRT, found=GRASS)
